# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
211           	8.670238e-02	1.835241e-02	2.961507e-02
212           	8.376647e-02	1.819006e-02	2.924074e-02
213           	8.118018e-02	1.805275e-02	2.892873e-02
214           	7.978919e-02	1.791518e-02	2.867976e-02
215           	7.793605e-02	1.775808e-02	2.849880e-02
216           	7.479389e-02	1.762793e-02	2.845016e-02
217           	7.266528e-02	1.751108e-02	2.843188e-02
218           	7.011526e-02	1.737114e-02	2.847616e-02
219           	6.854501e-02	1.730364e-02	2.857372e-02
220           	6.672125e-02	1.717735e-02	2.878447e-02
221           	6.625122e-02	1.710287e-02	2.892586e-02
222           	6.675532e-02	1.698547e-02	2.916646e-02
223           	6.766348e-02	1.689744e-02	2.924948e-02
224           	7.003464e-02	1.681246e-02	2.940085e-02
225           	7.178610e-02	1.667914e-02	2.946997e-02
226           	7.400815e-02	1.655123e-02	2.953334e-02
227           	7.661627e-02	1.640314e-02	2.947208e-02
228           	7.968222e-02	1.625098e-02	2.941564e-02
229           	8.247616e-02	1.608338e-02	2.923304e-02
230           	8.488125e-02	1.589128e-02	2.905633e-02
231           	8.712930e-02	1.572365e-02	2.872703e-02
232           	8.952517e-02	1.551998e-02	2.842881e-02
233           	9.101981e-02	1.533848e-02	2.803346e-02
234           	9.198200e-02	1.515448e-02	2.762498e-02
235           	9.310822e-02	1.496891e-02	2.724890e-02
236           	9.522148e-02	1.478671e-02	2.683975e-02
237           	9.750809e-02	1.462317e-02	2.663518e-02
238           	9.843096e-02	1.447635e-02	2.643238e-02
239           	9.849488e-02	1.432368e-02	2.636487e-02
240           	9.885068e-02	1.418674e-02	2.642836e-02
241           	9.956084e-02	1.411896e-02	2.662786e-02
242           	9.897531e-02	1.403375e-02	2.695117e-02
243           	9.797518e-02	1.397883e-02	2.737598e-02
244           	9.704994e-02	1.396565e-02	2.787421e-02
245           	9.712457e-02	1.397776e-02	2.841528e-02
246           	9.820162e-02	1.405612e-02	2.896295e-02
247           	1.017689e-01	1.418226e-02	2.942694e-02
248           	1.055326e-01	1.433199e-02	2.980400e-02
249           	1.096706e-01	1.452904e-02	3.008866e-02
250           	1.123959e-01	1.478158e-02	3.032668e-02
251           	1.141178e-01	1.509538e-02	3.055190e-02
252           	1.140163e-01	1.545268e-02	3.073610e-02
253           	1.137805e-01	1.583419e-02	3.091157e-02
254           	1.127808e-01	1.621342e-02	3.106227e-02
255           	1.121280e-01	1.661671e-02	3.122998e-02
256           	1.109710e-01	1.698141e-02	3.138042e-02
257           	1.100263e-01	1.735090e-02	3.153310e-02
258           	1.097872e-01	1.770016e-02	3.167401e-02
259           	1.098983e-01	1.804364e-02	3.181468e-02
260           	1.100569e-01	1.838660e-02	3.194302e-02
261           	1.105880e-01	1.871870e-02	3.207569e-02
262           	1.110836e-01	1.908052e-02	3.220386e-02
263           	1.118575e-01	1.944218e-02	3.235129e-02
264           	1.126072e-01	1.978078e-02	3.248666e-02
265           	1.127361e-01	2.014452e-02	3.261324e-02
266           	1.130125e-01	2.051124e-02	3.273124e-02
267           	1.127146e-01	2.087403e-02	3.285773e-02
268           	1.127199e-01	2.124913e-02	3.298771e-02
269           	1.124284e-01	2.165442e-02	3.309513e-02
270           	1.126836e-01	2.207948e-02	3.320250e-02
271           	1.126884e-01	2.250981e-02	3.332663e-02
272           	1.129924e-01	2.294917e-02	3.346686e-02
273           	1.145401e-01	2.340637e-02	3.366046e-02
274           	1.177948e-01	2.387053e-02	3.390331e-02
275           	1.219704e-01	2.434450e-02	3.419918e-02
276           	1.272866e-01	2.482228e-02	3.452149e-02
277           	1.306454e-01	2.527294e-02	3.477802e-02
278           	1.338295e-01	2.575646e-02	3.503361e-02
279           	1.366267e-01	2.618539e-02	3.520125e-02
280           	1.446792e-01	2.661491e-02	3.533109e-02
281           	1.598440e-01	2.707589e-02	3.544075e-02
282           	1.729160e-01	2.766120e-02	3.549007e-02
