# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
161           	4.306076e-04	3.785981e-04	1.753872e-04
162           	4.177652e-04	3.687312e-04	1.699302e-04
163           	4.051627e-04	3.591099e-04	1.646637e-04
164           	3.929290e-04	3.497337e-04	1.595794e-04
165           	3.810909e-04	3.405990e-04	1.546737e-04
166           	3.696275e-04	3.316990e-04	1.499462e-04
167           	3.585091e-04	3.230260e-04	1.453939e-04
168           	3.479102e-04	3.145735e-04	1.410104e-04
169           	3.377884e-04	3.063275e-04	1.367858e-04
170           	3.280896e-04	2.982811e-04	1.327100e-04
171           	3.186671e-04	2.904288e-04	1.287751e-04
172           	3.093167e-04	2.827676e-04	1.249777e-04
173           	2.988277e-04	2.751676e-04	1.217011e-04
174           	2.902096e-04	2.680334e-04	1.178338e-04
175           	2.813494e-04	2.609860e-04	1.142051e-04
176           	2.733493e-04	2.540468e-04	1.109681e-04
177           	2.639915e-04	2.471463e-04	1.083535e-04
178           	2.573934e-04	2.406696e-04	1.051588e-04
179           	2.501662e-04	2.342820e-04	1.020573e-04
180           	2.423899e-04	2.278967e-04	9.953006e-05
181           	2.356906e-04	2.218956e-04	9.663217e-05
182           	2.292678e-04	2.159804e-04	9.394366e-05
183           	2.218238e-04	2.100837e-04	9.181074e-05
184           	2.161849e-04	2.045526e-04	8.925365e-05
185           	2.106689e-04	1.991060e-04	8.681632e-05
186           	2.041231e-04	1.936789e-04	8.486402e-05
187           	1.989969e-04	1.885886e-04	8.254269e-05
188           	1.936596e-04	1.834917e-04	8.061794e-05
189           	1.881900e-04	1.786943e-04	7.839852e-05
190           	1.829953e-04	1.738770e-04	7.661738e-05
191           	1.780789e-04	1.693404e-04	7.458098e-05
192           	1.732710e-04	1.647904e-04	7.294206e-05
193           	1.687839e-04	1.605077e-04	7.101716e-05
194           	1.644385e-04	1.562139e-04	6.944990e-05
195           	1.601148e-04	1.521734e-04	6.761786e-05
196           	1.560391e-04	1.481207e-04	6.613715e-05
197           	1.528459e-04	1.442420e-04	6.461979e-05
198           	1.479351e-04	1.405657e-04	6.283940e-05
199           	1.439906e-04	1.368520e-04	6.143634e-05
200           	1.408707e-04	1.332863e-04	6.006837e-05
201           	1.367410e-04	1.299024e-04	5.846271e-05
202           	1.333251e-04	1.264848e-04	5.717871e-05
203           	1.306362e-04	1.232074e-04	5.589632e-05
204           	1.267017e-04	1.200997e-04	5.437901e-05
205           	1.234333e-04	1.169597e-04	5.316271e-05
206           	1.208166e-04	1.139470e-04	5.196300e-05
207           	1.172302e-04	1.110870e-04	5.055527e-05
208           	1.142853e-04	1.081959e-04	4.942339e-05
209           	1.120179e-04	1.054198e-04	4.830066e-05
210           	1.087089e-04	1.027832e-04	4.698056e-05
211           	1.060181e-04	1.001166e-04	4.591362e-05
212           	1.038822e-04	9.755577e-05	4.485620e-05
213           	1.008916e-04	9.512365e-05	4.361779e-05
214           	9.837608e-05	9.266260e-05	4.261368e-05
215           	9.639255e-05	9.029823e-05	4.161973e-05
216           	9.358787e-05	8.805116e-05	4.046077e-05
217           	9.121667e-05	8.577717e-05	3.951828e-05
218           	8.937303e-05	8.359163e-05	3.858596e-05
219           	8.674702e-05	8.151378e-05	3.750126e-05
220           	8.453384e-05	7.940977e-05	3.661590e-05
221           	8.247371e-05	7.742263e-05	3.563003e-05
222           	8.046273e-05	7.542198e-05	3.481507e-05
223           	7.856458e-05	7.353670e-05	3.386322e-05
224           	7.669148e-05	7.164001e-05	3.305673e-05
225           	7.478826e-05	6.985066e-05	3.213223e-05
226           	7.287434e-05	6.804828e-05	3.136218e-05
227           	7.103594e-05	6.634648e-05	3.049023e-05
228           	6.919001e-05	6.463196e-05	2.976383e-05
229           	6.746059e-05	6.301310e-05	2.893223e-05
230           	6.572473e-05	6.138187e-05	2.823374e-05
231           	6.405947e-05	5.984148e-05	2.743669e-05
232           	6.240656e-05	5.829010e-05	2.676981e-05
233           	6.082726e-05	5.682538e-05	2.601323e-05
234           	5.925013e-05	5.535081e-05	2.538100e-05
235           	5.774786e-05	5.395803e-05	2.466269e-05
236           	5.623537e-05	5.255555e-05	2.406055e-05
237           	5.479427e-05	5.123065e-05	2.337647e-05
238           	5.334928e-05	4.989641e-05	2.280361e-05
239           	5.197433e-05	4.863616e-05	2.215418e-05
240           	5.061074e-05	4.736737e-05	2.161132e-05
241           	4.931012e-05	4.616932e-05	2.099568e-05
242           	4.801105e-05	4.496393e-05	2.048064e-05
243           	4.678069e-05	4.382560e-05	1.989668e-05
244           	4.553112e-05	4.268034e-05	1.940831e-05
245           	4.436126e-05	4.159866e-05	1.885509e-05
246           	4.318724e-05	4.051020e-05	1.839305e-05
247           	4.206293e-05	3.948215e-05	1.786962e-05
248           	4.095814e-05	3.844772e-05	1.743251e-05
249           	3.988933e-05	3.747098e-05	1.693664e-05
250           	3.883245e-05	3.648845e-05	1.652246e-05
251           	3.783091e-05	3.556082e-05	1.605267e-05
252           	3.682529e-05	3.462779e-05	1.566085e-05
253           	3.588313e-05	3.374690e-05	1.521671e-05
254           	3.493131e-05	3.286079e-05	1.484675e-05
255           	3.402487e-05	3.202418e-05	1.442694e-05
256           	3.312491e-05	3.118268e-05	1.407701e-05
257           	3.226279e-05	3.038823e-05	1.367945e-05
258           	3.140978e-05	2.958908e-05	1.334822e-05
259           	3.059283e-05	2.883472e-05	1.297187e-05
260           	2.978924e-05	2.807610e-05	1.265868e-05
261           	2.901490e-05	2.736007e-05	1.230275e-05
262           	2.824845e-05	2.664011e-05	1.200671e-05
263           	2.752166e-05	2.596065e-05	1.166993e-05
264           	2.679943e-05	2.527742e-05	1.138983e-05
265           	2.611180e-05	2.463259e-05	1.107102e-05
266           	2.542766e-05	2.398405e-05	1.080605e-05
267           	2.476934e-05	2.337205e-05	1.050423e-05
268           	2.412207e-05	2.275669e-05	1.025340e-05
269           	2.349933e-05	2.217614e-05	9.967501e-06
270           	2.288303e-05	2.159252e-05	9.730020e-06
271           	2.229366e-05	2.104183e-05	9.459285e-06
272           	2.170560e-05	2.048821e-05	9.234452e-06
273           	2.114854e-05	1.996590e-05	8.977922e-06
274           	2.059619e-05	1.944080e-05	8.764878e-06
275           	2.006881e-05	1.894542e-05	8.521738e-06
276           	1.954792e-05	1.844732e-05	8.319902e-06
